ID,Title,Author,Description,Price,Category,Availability
58,The Art of War (Edition 4),Sun Tzu,An ancient Chinese military treatise.,6.89,History,Unavailable
59,Pride and Prejudice (Edition 5),Jane Austen,A romantic novel about manners and courtship.,8.99,Fiction,Available
60,The Code Breaker (Edition 1),Walter Isaacson,Jennifer Doudna's pioneering work in CRISPR technology.,16.49,Science,Available
61,To Kill a Mockingbird (Edition 2),Harper Lee,A novel about racial injustice in the Deep South.,8.39,Fiction,Unavailable
62,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
63,The Great Gatsby (Edition 4),F. Scott Fitzgerald,A tragic story of love and ambition in the Roaring Twenties.,11.83,Fiction,Available
64,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Unavailable
65,The Catcher in the Rye (Edition 1),J.D. Salinger,The experiences of a young boy in New York City.,6.99,Fiction,Available
66,The Hobbit (Edition 2),J.R.R. Tolkien,The prelude to the epic Lord of the Rings saga.,12.97,Fantasy,Available
67,Becoming (Edition 3),Michelle Obama,The memoir of the former First Lady of the United States.,20.89,Biography,Unavailable
68,The Art of War (Edition 4),Sun Tzu,An ancient Chinese military treatise.,6.89,History,Available
69,Pride and Prejudice (Edition 5),Jane Austen,A romantic novel about manners and courtship.,8.99,Fiction,Available
70,The Code Breaker (Edition 1),Walter Isaacson,Jennifer Doudna's pioneering work in CRISPR technology.,16.49,Science,Unavailable
71,To Kill a Mockingbird (Edition 2),Harper Lee,A novel about racial injustice in the Deep South.,8.39,Fiction,Available
72,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
73,The Great Gatsby (Edition 4),F. Scott Fitzgerald,A tragic story of love and ambition in the Roaring Twenties.,11.83,Fiction,Unavailable
74,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
75,The Catcher in the Rye (Edition 1),J.D. Salinger,The experiences of a young boy in New York City.,6.99,Fiction,Available
76,The Hobbit (Edition 2),J.R.R. Tolkien,The prelude to the epic Lord of the Rings saga.,12.97,Fantasy,Unavailable
77,Becoming (Edition 3),Michelle Obama,The memoir of the former First Lady of the United States.,20.89,Biography,Available
78,The Art of War (Edition 4),Sun Tzu,An ancient Chinese military treatise.,6.89,History,Available
79,Pride and Prejudice (Edition 5),Jane Austen,A romantic novel about manners and courtship.,8.99,Fiction,Unavailable
80,The Code Breaker (Edition 1),Walter Isaacson,Jennifer Doudna's pioneering work in CRISPR technology.,16.49,Science,Available
81,To Kill a Mockingbird (Edition 2),Harper Lee,A novel about racial injustice in the Deep South.,8.39,Fiction,Available
82,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Unavailable
83,The Great Gatsby (Edition 4),F. Scott Fitzgerald,A tragic story of love and ambition in the Roaring Twenties.,11.83,Fiction,Available
84,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Available
85,The Catcher in the Rye (Edition 1),J.D. Salinger,The experiences of a young boy in New York City.,6.99,Fiction,Unavailable
86,The Hobbit (Edition 2),J.R.R. Tolkien,The prelude to the epic Lord of the Rings saga.,12.97,Fantasy,Available
87,Becoming (Edition 3),Michelle Obama,The memoir of the former First Lady of the United States.,20.89,Biography,Available
88,The Art of War (Edition 4),Sun Tzu,An ancient Chinese military treatise.,6.89,History,Unavailable
89,Pride and Prejudice (Edition 5),Jane Austen,A romantic novel about manners and courtship.,8.99,Fiction,Available
90,The Code Breaker (Edition 1),Walter Isaacson,Jennifer Doudna's pioneering work in CRISPR technology.,16.49,Science,Available
91,To Kill a Mockingbird (Edition 2),Harper Lee,A novel about racial injustice in the Deep South.,8.39,Fiction,Unavailable
92,1984 (Edition 3),George Orwell,A dystopian story about totalitarian government surveillance.,9.34,Science Fiction,Available
93,The Great Gatsby (Edition 4),F. Scott Fitzgerald,A tragic story of love and ambition in the Roaring Twenties.,11.83,Fiction,Available
94,A Brief History of Time (Edition 5),Stephen Hawking,A landmark volume in popular science.,18.59,Science,Unavailable
95,The Catcher in the Rye (Edition 1),J.D. Salinger,The experiences of a young boy in New York City.,6.99,Fiction,Available
96,The Hobbit (Edition 2),J.R.R. Tolkien,The prelude to the epic Lord of the Rings saga.,12.97,Fantasy,Available
97,Becoming (Edition 3),Michelle Obama,The memoir of the former First Lady of the United States.,20.89,Biography,Unavailable
98,The Art of War (Edition 4),Sun Tzu,An ancient Chinese military treatise.,6.89,History,Available
99,Pride and Prejudice (Edition 5),Jane Austen,A romantic novel about manners and courtship.,8.99,Fiction,Available
100,The Code Breaker (Edition 1),Walter Isaacson,Jennifer Doudna's pioneering work in CRISPR technology.,16.49,Science,Unavailable
102,adhhif,dhis,hfids,saad,26.99,fantasy,1
103,chi haja,hhhhhh,hhhhhhhhhhhhhhhhhhh,d,26.99,fantasy,0
